survival,X1,X2,X3,X4,X5
FALSE,155,240,31.4,0.709,0.815
FALSE,156,240,31.5,0.715,0.812
FALSE,160,242,32.6,0.74,0.854
FALSE,152,232,30.3,0.676,0.78
FALSE,160,250,31.7,0.741,0.886
FALSE,155,237,31,0.727,0.787
FALSE,157,245,32.2,0.766,0.841
FALSE,165,245,33.1,0.78,0.895
FALSE,153,231,30.1,0.68,0.781
FALSE,162,239,30.3,0.709,0.911
FALSE,162,243,31.6,0.741,0.84
FALSE,159,245,31.8,0.727,0.855
FALSE,159,247,30.9,0.711,0.749
FALSE,155,243,30.9,0.73,0.839
FALSE,162,252,31.9,0.752,0.875
FALSE,152,230,30.4,0.682,0.734
TRUE,156,245,31.6,0.729,0.809
TRUE,154,240,30.4,0.705,0.77
FALSE,159,242,30.8,0.717,0.809
TRUE,153,240,31,0.724,0.812
FALSE,155,238,31.2,0.706,0.758
TRUE,153,236,30.9,0.698,0.795
FALSE,163,249,33.4,0.767,0.896
TRUE,155,243,31.5,0.734,0.801
FALSE,163,242,31,0.713,0.813
FALSE,156,237,31.7,0.718,0.8
TRUE,163,247,32,0.748,0.821
TRUE,157,238,30.9,0.726,0.797
FALSE,159,238,31.5,0.726,0.8
TRUE,155,239,32.8,0.732,0.835
FALSE,161,245,32.1,0.751,0.819
FALSE,155,235,30.7,0.695,0.771
TRUE,164,248,32.7,0.752,0.83
TRUE,158,238,31,0.741,0.866
FALSE,162,247,31.9,0.751,0.802
FALSE,153,237,30.6,0.732,0.802
TRUE,158,240,31.3,0.733,0.867
TRUE,160,244,31.1,0.731,0.808
FALSE,162,245,32.5,0.728,0.832
TRUE,161,246,32.3,0.758,0.859
FALSE,164,248,32.3,0.739,0.823
TRUE,157,245,32,0.752,0.787
TRUE,157,235,31.5,0.712,0.781
TRUE,156,237,30.9,0.708,0.798
TRUE,158,244,31.4,0.729,0.851
TRUE,153,238,30.5,0.715,0.821
TRUE,155,236,30.3,0.727,0.79
TRUE,163,246,32.5,0.732,0.862
TRUE,159,236,31.5,0.709,0.845
